nome,uf,municipio,icon,lat,lng,id,anda,ama,cat
Mosaic Fertilizantes do Brasil Ltda.,SP,São Paulo,fertilizante-agk,-23.5329,-46.6395,3550308,S,N,3
Mosaic Fertilizantes P&k Ltda.,SP,São Paulo,fertilizante-agk,-23.5329,-46.6395,3550308,S,N,3
Multitécnica Industrial Ltda.,MG,Belo Horizonte,fertilizante-agk,-19.9102,-43.9266,3106200,S,N,3
Nativa Agonegócios e Representações Ltda.,MG,Ibiá,fertilizante-agk,-19.4749,-46.5474,3129509,S,S,3
Nitrobrás Indústria e Comércio de Fertilizantes Ltda.,PR,Araucária,fertilizante-agk,-25.5859,-49.4047,4101804,S,S,3
Novozymes Bioag Produtos para Agricultura Ltda.,PR,Quatro Barras,fertilizante-agk,-25.3673,-49.0763,4120804,S,N,3
Nutrien Ag. Solutions Ind. e Com. Prods. Agrícolas Ltda.,SP,Itapetininga,fertilizante-agk,-23.5886,-48.0483,3522307,S,S,5
Nutrientes Indústria de Fertilizantes Ltda.,PR,Colombo,fertilizante-agk,-25.2925,-49.2262,4105805,S,N,3
Nutrisafra Fertilizantes Ltda.,SP,Barueri,fertilizante-agk,-23.5057,-46.8790,3505708,S,S,3
Ouro Gran Fertilizantes e Transportes Eireli,PR,Almirante Tamandaré,fertilizante-agk,-25.3188,-49.3037,4100400,S,N,3
Ourofértil Fertilizantes Ltda.,RS,Nova Prata,fertilizante-agk,-28.7799,-51.6113,4313300,S,N,3
Ourofertil Nordeste Ltda.,CE,São Gonçalo do Amarante,fertilizante-agk,-3.6052,-38.9726,2312403,S,S,3
Paranaíba Fertilizantes Indústria e Comércio Ltda.,MG,Uberlândia,fertilizante-agk,-18.9141,-48.2749,3170206,S,N,3
Proflora Indústria e Comércio Ltda.,MG,Alfenas,fertilizante-agk,-21.4200,-45.9469,3101607,S,S,3
Proquigel Quimica S/A.,SP,São Paulo,fertilizante-agk,-23.5329,-46.6395,3550308,S,N,3
Rio Grande Fertilizantes Ltda.,RS,Rio Grande,fertilizante-agk,-32.0349,-52.1071,4315602,S,N,4
Salitre Fertilizantes Ltda.,GO,Goiânia,fertilizante-agk,-16.6864,-49.2643,5208707,S,N,3
